risk_scenario_id,role,role_id,category,training_cost_usd,outsourcing_cost_usd,time_to_hire_months,bonus_cost_usd,role_criticality,risk_impact,score
RS-001,Communications Security (COMSEC) Management,OG-WRL-001,Oversight and Governance,8000,45000,2.0,6000,0.72,0.75,45.1
RS-001,Cybersecurity Policy and Planning,OG-WRL-002,Oversight and Governance,6000,40000,1.5,5000,0.65,0.6,44.9
RS-001,Cybersecurity Workforce Management,OG-WRL-003,Oversight and Governance,5000,35000,1.3,4500,0.55,0.45,93.6
RS-001,Cybersecurity Curriculum Development,OG-WRL-004,Oversight and Governance,4500,30000,1.2,4000,0.45,0.35,65.0
RS-001,Cybersecurity Instruction,OG-WRL-005,Oversight and Governance,3500,25000,1.0,3500,0.4,0.3,103.1
RS-001,Cybersecurity Legal Advice,OG-WRL-006,Oversight and Governance,5000,55000,1.7,6500,0.68,0.65,32.3
RS-001,Executive Cybersecurity Leadership,OG-WRL-007,Oversight and Governance,7000,70000,2.5,10000,0.9,0.85,67.6
RS-001,Privacy Compliance,OG-WRL-008,Oversight and Governance,5500,38000,1.5,5000,0.7,0.7,111.9
RS-001,Product Support Management,OG-WRL-009,Oversight and Governance,4000,32000,1.2,4000,0.5,0.4,73.8
RS-001,Program Management,OG-WRL-010,Oversight and Governance,5000,40000,1.5,5500,0.6,0.55,69.1
RS-001,Secure Project Management,OG-WRL-011,Oversight and Governance,4500,35000,1.3,4500,0.58,0.52,74.0
RS-001,Security Control Assessment,OG-WRL-012,Oversight and Governance,7000,48000,1.8,6000,0.8,0.78,190.9
RS-001,Systems Authorization,OG-WRL-013,Oversight and Governance,6500,45000,1.7,5500,0.78,0.75,52.6
RS-001,Systems Security Management,OG-WRL-014,Oversight and Governance,7000,50000,1.8,6000,0.82,0.8,132.3
RS-001,Technology Portfolio Management,OG-WRL-015,Oversight and Governance,5000,42000,1.5,5000,0.6,0.55,29.4
RS-001,Technology Program Auditing,OG-WRL-016,Oversight and Governance,5500,40000,1.5,5000,0.65,0.6,39.1
RS-001,Cybersecurity Architecture,DD-WRL-001,Design and Development,10000,60000,2.3,8000,0.92,0.9,132.0
RS-001,Enterprise Architecture,DD-WRL-002,Design and Development,9000,58000,2.2,7500,0.85,0.82,94.8
RS-001,Secure Software Development,DD-WRL-003,Design and Development,8000,52000,2.0,7000,0.88,0.85,100.4
RS-001,Secure Systems Development,DD-WRL-004,Design and Development,8500,55000,2.2,7500,0.87,0.85,148.6
RS-001,Software Security Assessment,DD-WRL-005,Design and Development,7500,48000,1.8,6500,0.8,0.78,85.0
RS-001,Systems Requirements Planning,DD-WRL-006,Design and Development,6000,42000,1.7,5500,0.72,0.68,79.8
RS-001,Systems Testing and Evaluation,DD-WRL-007,Design and Development,6500,44000,1.7,5500,0.75,0.7,60.7
RS-001,Technology Research and Development,DD-WRL-008,Design and Development,9000,55000,2.2,7000,0.8,0.72,67.6
RS-001,Operational Technology (OT) Cybersecurity Engineering,DD-WRL-009,Design and Development,11000,65000,2.5,9000,0.93,0.92,74.3
RS-001,Data Analysis,IO-WRL-001,Implementation and Operation,6000,40000,1.5,5000,0.7,0.65,74.3
RS-001,Database Administration,IO-WRL-002,Implementation and Operation,5500,38000,1.3,4500,0.72,0.68,46.6
RS-001,Knowledge Management,IO-WRL-003,Implementation and Operation,4000,28000,1.2,3500,0.45,0.38,35.4
RS-001,Network Operations,IO-WRL-004,Implementation and Operation,7000,46000,1.7,6000,0.8,0.78,65.9
RS-001,Systems Administration,IO-WRL-005,Implementation and Operation,6000,40000,1.5,5500,0.75,0.72,80.0
RS-001,Systems Security Analysis,IO-WRL-006,Implementation and Operation,7500,48000,1.8,6500,0.82,0.8,91.8
RS-001,Technical Support,IO-WRL-007,Implementation and Operation,3500,25000,1.0,3000,0.4,0.35,57.8
RS-001,Defensive Cybersecurity,PD-WRL-001,Protection and Defense,9000,55000,2.2,8000,0.92,0.9,119.6
RS-001,Digital Forensics,PD-WRL-002,Protection and Defense,8500,52000,2.0,7500,0.85,0.82,113.0
RS-001,Incident Response,PD-WRL-003,Protection and Defense,8000,50000,1.8,7500,0.9,0.92,67.1
RS-001,Infrastructure Support,PD-WRL-004,Protection and Defense,6500,42000,1.6,5500,0.72,0.7,42.1
RS-001,Insider Threat Analysis,PD-WRL-005,Protection and Defense,7500,50000,1.9,7000,0.88,0.88,113.2
RS-001,Threat Analysis,PD-WRL-006,Protection and Defense,8000,52000,2.0,7500,0.9,0.9,104.1
RS-001,Vulnerability Analysis,PD-WRL-007,Protection and Defense,8500,54000,2.1,8000,0.92,0.92,53.2
RS-001,Cybercrime Investigation,IN-WRL-001,Investigation,7000,50000,2.0,7000,0.8,0.82,64.9
RS-001,Digital Evidence Analysis,IN-WRL-002,Investigation,7500,52000,2.1,7000,0.82,0.82,110.2
RS-002,Communications Security (COMSEC) Management,OG-WRL-001,Oversight and Governance,8000,45000,2.0,6000,0.72,0.75,49.0
RS-002,Cybersecurity Policy and Planning,OG-WRL-002,Oversight and Governance,6000,40000,1.5,5000,0.65,0.6,45.1
RS-002,Cybersecurity Workforce Management,OG-WRL-003,Oversight and Governance,5000,35000,1.3,4500,0.55,0.45,91.4
RS-002,Cybersecurity Curriculum Development,OG-WRL-004,Oversight and Governance,4500,30000,1.2,4000,0.45,0.35,68.3
RS-002,Cybersecurity Instruction,OG-WRL-005,Oversight and Governance,3500,25000,1.0,3500,0.4,0.3,113.6
RS-002,Cybersecurity Legal Advice,OG-WRL-006,Oversight and Governance,5000,55000,1.7,6500,0.68,0.65,35.1
RS-002,Executive Cybersecurity Leadership,OG-WRL-007,Oversight and Governance,7000,70000,2.5,10000,0.9,0.85,68.3
RS-002,Privacy Compliance,OG-WRL-008,Oversight and Governance,5500,38000,1.5,5000,0.7,0.7,105.3
RS-002,Product Support Management,OG-WRL-009,Oversight and Governance,4000,32000,1.2,4000,0.5,0.4,75.6
RS-002,Program Management,OG-WRL-010,Oversight and Governance,5000,40000,1.5,5500,0.6,0.55,69.2
RS-002,Secure Project Management,OG-WRL-011,Oversight and Governance,4500,35000,1.3,4500,0.58,0.52,74.0
RS-002,Security Control Assessment,OG-WRL-012,Oversight and Governance,7000,48000,1.8,6000,0.8,0.78,218.3
RS-002,Systems Authorization,OG-WRL-013,Oversight and Governance,6500,45000,1.7,5500,0.78,0.75,61.7
RS-002,Systems Security Management,OG-WRL-014,Oversight and Governance,7000,50000,1.8,6000,0.82,0.8,131.6
RS-002,Technology Portfolio Management,OG-WRL-015,Oversight and Governance,5000,42000,1.5,5000,0.6,0.55,29.6
RS-002,Technology Program Auditing,OG-WRL-016,Oversight and Governance,5500,40000,1.5,5000,0.65,0.6,40.5
RS-002,Cybersecurity Architecture,DD-WRL-001,Design and Development,10000,60000,2.3,8000,0.92,0.9,143.7
RS-002,Enterprise Architecture,DD-WRL-002,Design and Development,9000,58000,2.2,7500,0.85,0.82,100.7
RS-002,Secure Software Development,DD-WRL-003,Design and Development,8000,52000,2.0,7000,0.88,0.85,104.5
RS-002,Secure Systems Development,DD-WRL-004,Design and Development,8500,55000,2.2,7500,0.87,0.85,153.9
RS-002,Software Security Assessment,DD-WRL-005,Design and Development,7500,48000,1.8,6500,0.8,0.78,89.6
RS-002,Systems Requirements Planning,DD-WRL-006,Design and Development,6000,42000,1.7,5500,0.72,0.68,87.3
RS-002,Systems Testing and Evaluation,DD-WRL-007,Design and Development,6500,44000,1.7,5500,0.75,0.7,66.5
RS-002,Technology Research and Development,DD-WRL-008,Design and Development,9000,55000,2.2,7000,0.8,0.72,74.7
RS-002,Operational Technology (OT) Cybersecurity Engineering,DD-WRL-009,Design and Development,11000,65000,2.5,9000,0.93,0.92,76.4
RS-002,Data Analysis,IO-WRL-001,Implementation and Operation,6000,40000,1.5,5000,0.7,0.65,87.3
RS-002,Database Administration,IO-WRL-002,Implementation and Operation,5500,38000,1.3,4500,0.72,0.68,52.3
RS-002,Knowledge Management,IO-WRL-003,Implementation and Operation,4000,28000,1.2,3500,0.45,0.38,37.2
RS-002,Network Operations,IO-WRL-004,Implementation and Operation,7000,46000,1.7,6000,0.8,0.78,74.8
RS-002,Systems Administration,IO-WRL-005,Implementation and Operation,6000,40000,1.5,5500,0.75,0.72,89.1
RS-002,Systems Security Analysis,IO-WRL-006,Implementation and Operation,7500,48000,1.8,6500,0.82,0.8,95.4
RS-002,Technical Support,IO-WRL-007,Implementation and Operation,3500,25000,1.0,3000,0.4,0.35,62.4
RS-002,Defensive Cybersecurity,PD-WRL-001,Protection and Defense,9000,55000,2.2,8000,0.92,0.9,131.1
RS-002,Digital Forensics,PD-WRL-002,Protection and Defense,8500,52000,2.0,7500,0.85,0.82,121.6
RS-002,Incident Response,PD-WRL-003,Protection and Defense,8000,50000,1.8,7500,0.9,0.92,71.4
RS-002,Infrastructure Support,PD-WRL-004,Protection and Defense,6500,42000,1.6,5500,0.72,0.7,46.6
RS-002,Insider Threat Analysis,PD-WRL-005,Protection and Defense,7500,50000,1.9,7000,0.88,0.88,116.3
RS-002,Threat Analysis,PD-WRL-006,Protection and Defense,8000,52000,2.0,7500,0.9,0.9,114.3
RS-002,Vulnerability Analysis,PD-WRL-007,Protection and Defense,8500,54000,2.1,8000,0.92,0.92,60.2
RS-002,Cybercrime Investigation,IN-WRL-001,Investigation,7000,50000,2.0,7000,0.8,0.82,68.1
RS-002,Digital Evidence Analysis,IN-WRL-002,Investigation,7500,52000,2.1,7000,0.82,0.82,115.1
RS-003,Communications Security (COMSEC) Management,OG-WRL-001,Oversight and Governance,8000,45000,2.0,6000,0.72,0.75,56.9
RS-003,Cybersecurity Policy and Planning,OG-WRL-002,Oversight and Governance,6000,40000,1.5,5000,0.65,0.6,47.8
RS-003,Cybersecurity Workforce Management,OG-WRL-003,Oversight and Governance,5000,35000,1.3,4500,0.55,0.45,92.6
RS-003,Cybersecurity Curriculum Development,OG-WRL-004,Oversight and Governance,4500,30000,1.2,4000,0.45,0.35,74.3
RS-003,Cybersecurity Instruction,OG-WRL-005,Oversight and Governance,3500,25000,1.0,3500,0.4,0.3,125.5
RS-003,Cybersecurity Legal Advice,OG-WRL-006,Oversight and Governance,5000,55000,1.7,6500,0.68,0.65,41.6
RS-003,Executive Cybersecurity Leadership,OG-WRL-007,Oversight and Governance,7000,70000,2.5,10000,0.9,0.85,71.7
RS-003,Privacy Compliance,OG-WRL-008,Oversight and Governance,5500,38000,1.5,5000,0.7,0.7,101.4
RS-003,Product Support Management,OG-WRL-009,Oversight and Governance,4000,32000,1.2,4000,0.5,0.4,81.4
RS-003,Program Management,OG-WRL-010,Oversight and Governance,5000,40000,1.5,5500,0.6,0.55,72.7
RS-003,Secure Project Management,OG-WRL-011,Oversight and Governance,4500,35000,1.3,4500,0.58,0.52,77.6
RS-003,Security Control Assessment,OG-WRL-012,Oversight and Governance,7000,48000,1.8,6000,0.8,0.78,246.6
RS-003,Systems Authorization,OG-WRL-013,Oversight and Governance,6500,45000,1.7,5500,0.78,0.75,76.5
RS-003,Systems Security Management,OG-WRL-014,Oversight and Governance,7000,50000,1.8,6000,0.82,0.8,140.3
RS-003,Technology Portfolio Management,OG-WRL-015,Oversight and Governance,5000,42000,1.5,5000,0.6,0.55,32.6
RS-003,Technology Program Auditing,OG-WRL-016,Oversight and Governance,5500,40000,1.5,5000,0.65,0.6,45.0
RS-003,Cybersecurity Architecture,DD-WRL-001,Design and Development,10000,60000,2.3,8000,0.92,0.9,162.7
RS-003,Enterprise Architecture,DD-WRL-002,Design and Development,9000,58000,2.2,7500,0.85,0.82,112.9
RS-003,Secure Software Development,DD-WRL-003,Design and Development,8000,52000,2.0,7000,0.88,0.85,115.1
RS-003,Secure Systems Development,DD-WRL-004,Design and Development,8500,55000,2.2,7500,0.87,0.85,167.1
RS-003,Software Security Assessment,DD-WRL-005,Design and Development,7500,48000,1.8,6500,0.8,0.78,101.0
RS-003,Systems Requirements Planning,DD-WRL-006,Design and Development,6000,42000,1.7,5500,0.72,0.68,100.9
RS-003,Systems Testing and Evaluation,DD-WRL-007,Design and Development,6500,44000,1.7,5500,0.75,0.7,76.2
RS-003,Technology Research and Development,DD-WRL-008,Design and Development,9000,55000,2.2,7000,0.8,0.72,86.9
RS-003,Operational Technology (OT) Cybersecurity Engineering,DD-WRL-009,Design and Development,11000,65000,2.5,9000,0.93,0.92,80.7
RS-003,Data Analysis,IO-WRL-001,Implementation and Operation,6000,40000,1.5,5000,0.7,0.65,102.2
RS-003,Database Administration,IO-WRL-002,Implementation and Operation,5500,38000,1.3,4500,0.72,0.68,62.3
RS-003,Knowledge Management,IO-WRL-003,Implementation and Operation,4000,28000,1.2,3500,0.45,0.38,42.2
RS-003,Network Operations,IO-WRL-004,Implementation and Operation,7000,46000,1.7,6000,0.8,0.78,89.9
RS-003,Systems Administration,IO-WRL-005,Implementation and Operation,6000,40000,1.5,5500,0.75,0.72,102.9
RS-003,Systems Security Analysis,IO-WRL-006,Implementation and Operation,7500,48000,1.8,6500,0.82,0.8,106.0
RS-003,Technical Support,IO-WRL-007,Implementation and Operation,3500,25000,1.0,3000,0.4,0.35,70.2
RS-003,Defensive Cybersecurity,PD-WRL-001,Protection and Defense,9000,55000,2.2,8000,0.92,0.9,151.3
RS-003,Digital Forensics,PD-WRL-002,Protection and Defense,8500,52000,2.0,7500,0.85,0.82,135.4
RS-003,Incident Response,PD-WRL-003,Protection and Defense,8000,50000,1.8,7500,0.9,0.92,78.9
RS-003,Infrastructure Support,PD-WRL-004,Protection and Defense,6500,42000,1.6,5500,0.72,0.7,55.1
RS-003,Insider Threat Analysis,PD-WRL-005,Protection and Defense,7500,50000,1.9,7000,0.88,0.88,123.3
RS-003,Threat Analysis,PD-WRL-006,Protection and Defense,8000,52000,2.0,7500,0.9,0.9,127.0
RS-003,Vulnerability Analysis,PD-WRL-007,Protection and Defense,8500,54000,2.1,8000,0.92,0.92,71.8
RS-003,Cybercrime Investigation,IN-WRL-001,Investigation,7000,50000,2.0,7000,0.8,0.82,74.8
RS-003,Digital Evidence Analysis,IN-WRL-002,Investigation,7500,52000,2.1,7000,0.82,0.82,126.3
RS-004,Communications Security (COMSEC) Management,OG-WRL-001,Oversight and Governance,8000,45000,2.0,6000,0.72,0.75,68.3
RS-004,Cybersecurity Policy and Planning,OG-WRL-002,Oversight and Governance,6000,40000,1.5,5000,0.65,0.6,53.7
RS-004,Cybersecurity Workforce Management,OG-WRL-003,Oversight and Governance,5000,35000,1.3,4500,0.55,0.45,99.0
RS-004,Cybersecurity Curriculum Development,OG-WRL-004,Oversight and Governance,4500,30000,1.2,4000,0.45,0.35,81.6
RS-004,Cybersecurity Instruction,OG-WRL-005,Oversight and Governance,3500,25000,1.0,3500,0.4,0.3,131.5
RS-004,Cybersecurity Legal Advice,OG-WRL-006,Oversight and Governance,5000,55000,1.7,6500,0.68,0.65,52.0
RS-004,Executive Cybersecurity Leadership,OG-WRL-007,Oversight and Governance,7000,70000,2.5,10000,0.9,0.85,77.9
RS-004,Privacy Compliance,OG-WRL-008,Oversight and Governance,5500,38000,1.5,5000,0.7,0.7,103.8
RS-004,Product Support Management,OG-WRL-009,Oversight and Governance,4000,32000,1.2,4000,0.5,0.4,91.4
RS-004,Program Management,OG-WRL-010,Oversight and Governance,5000,40000,1.5,5500,0.6,0.55,80.5
RS-004,Secure Project Management,OG-WRL-011,Oversight and Governance,4500,35000,1.3,4500,0.58,0.52,85.8
RS-004,Security Control Assessment,OG-WRL-012,Oversight and Governance,7000,48000,1.8,6000,0.8,0.78,256.4
RS-004,Systems Authorization,OG-WRL-013,Oversight and Governance,6500,45000,1.7,5500,0.78,0.75,94.4
RS-004,Systems Security Management,OG-WRL-014,Oversight and Governance,7000,50000,1.8,6000,0.82,0.8,162.6
RS-004,Technology Portfolio Management,OG-WRL-015,Oversight and Governance,5000,42000,1.5,5000,0.6,0.55,39.6
RS-004,Technology Program Auditing,OG-WRL-016,Oversight and Governance,5500,40000,1.5,5000,0.65,0.6,53.1
RS-004,Cybersecurity Architecture,DD-WRL-001,Design and Development,10000,60000,2.3,8000,0.92,0.9,184.4
RS-004,Enterprise Architecture,DD-WRL-002,Design and Development,9000,58000,2.2,7500,0.85,0.82,130.3
RS-004,Secure Software Development,DD-WRL-003,Design and Development,8000,52000,2.0,7000,0.88,0.85,132.2
RS-004,Secure Systems Development,DD-WRL-004,Design and Development,8500,55000,2.2,7500,0.87,0.85,187.5
RS-004,Software Security Assessment,DD-WRL-005,Design and Development,7500,48000,1.8,6500,0.8,0.78,119.4
RS-004,Systems Requirements Planning,DD-WRL-006,Design and Development,6000,42000,1.7,5500,0.72,0.68,118.7
RS-004,Systems Testing and Evaluation,DD-WRL-007,Design and Development,6500,44000,1.7,5500,0.75,0.7,87.8
RS-004,Technology Research and Development,DD-WRL-008,Design and Development,9000,55000,2.2,7000,0.8,0.72,102.1
RS-004,Operational Technology (OT) Cybersecurity Engineering,DD-WRL-009,Design and Development,11000,65000,2.5,9000,0.93,0.92,86.0
RS-004,Data Analysis,IO-WRL-001,Implementation and Operation,6000,40000,1.5,5000,0.7,0.65,111.1
RS-004,Database Administration,IO-WRL-002,Implementation and Operation,5500,38000,1.3,4500,0.72,0.68,75.2
RS-004,Knowledge Management,IO-WRL-003,Implementation and Operation,4000,28000,1.2,3500,0.45,0.38,50.8
RS-004,Network Operations,IO-WRL-004,Implementation and Operation,7000,46000,1.7,6000,0.8,0.78,108.8
RS-004,Systems Administration,IO-WRL-005,Implementation and Operation,6000,40000,1.5,5500,0.75,0.72,117.6
RS-004,Systems Security Analysis,IO-WRL-006,Implementation and Operation,7500,48000,1.8,6500,0.82,0.8,124.4
RS-004,Technical Support,IO-WRL-007,Implementation and Operation,3500,25000,1.0,3000,0.4,0.35,79.5
RS-004,Defensive Cybersecurity,PD-WRL-001,Protection and Defense,9000,55000,2.2,8000,0.92,0.9,176.9
RS-004,Digital Forensics,PD-WRL-002,Protection and Defense,8500,52000,2.0,7500,0.85,0.82,150.6
RS-004,Incident Response,PD-WRL-003,Protection and Defense,8000,50000,1.8,7500,0.9,0.92,87.9
RS-004,Infrastructure Support,PD-WRL-004,Protection and Defense,6500,42000,1.6,5500,0.72,0.7,66.8
RS-004,Insider Threat Analysis,PD-WRL-005,Protection and Defense,7500,50000,1.9,7000,0.88,0.88,132.8
RS-004,Threat Analysis,PD-WRL-006,Protection and Defense,8000,52000,2.0,7500,0.9,0.9,135.8
RS-004,Vulnerability Analysis,PD-WRL-007,Protection and Defense,8500,54000,2.1,8000,0.92,0.92,85.9
RS-004,Cybercrime Investigation,IN-WRL-001,Investigation,7000,50000,2.0,7000,0.8,0.82,84.2
RS-004,Digital Evidence Analysis,IN-WRL-002,Investigation,7500,52000,2.1,7000,0.82,0.82,143.0
RS-005,Communications Security (COMSEC) Management,OG-WRL-001,Oversight and Governance,8000,45000,2.0,6000,0.72,0.75,53.5
RS-005,Cybersecurity Policy and Planning,OG-WRL-002,Oversight and Governance,6000,40000,1.5,5000,0.65,0.6,46.9
RS-005,Cybersecurity Workforce Management,OG-WRL-003,Oversight and Governance,5000,35000,1.3,4500,0.55,0.45,93.0
RS-005,Cybersecurity Curriculum Development,OG-WRL-004,Oversight and Governance,4500,30000,1.2,4000,0.45,0.35,72.4
RS-005,Cybersecurity Instruction,OG-WRL-005,Oversight and Governance,3500,25000,1.0,3500,0.4,0.3,122.3
RS-005,Cybersecurity Legal Advice,OG-WRL-006,Oversight and Governance,5000,55000,1.7,6500,0.68,0.65,38.6
RS-005,Executive Cybersecurity Leadership,OG-WRL-007,Oversight and Governance,7000,70000,2.5,10000,0.9,0.85,70.9
RS-005,Privacy Compliance,OG-WRL-008,Oversight and Governance,5500,38000,1.5,5000,0.7,0.7,104.4
RS-005,Product Support Management,OG-WRL-009,Oversight and Governance,4000,32000,1.2,4000,0.5,0.4,79.4
RS-005,Program Management,OG-WRL-010,Oversight and Governance,5000,40000,1.5,5500,0.6,0.55,71.7
RS-005,Secure Project Management,OG-WRL-011,Oversight and Governance,4500,35000,1.3,4500,0.58,0.52,76.6
RS-005,Security Control Assessment,OG-WRL-012,Oversight and Governance,7000,48000,1.8,6000,0.8,0.78,238.6
RS-005,Systems Authorization,OG-WRL-013,Oversight and Governance,6500,45000,1.7,5500,0.78,0.75,70.0
RS-005,Systems Security Management,OG-WRL-014,Oversight and Governance,7000,50000,1.8,6000,0.82,0.8,136.8
RS-005,Technology Portfolio Management,OG-WRL-015,Oversight and Governance,5000,42000,1.5,5000,0.6,0.55,31.2
RS-005,Technology Program Auditing,OG-WRL-016,Oversight and Governance,5500,40000,1.5,5000,0.65,0.6,43.1
RS-005,Cybersecurity Architecture,DD-WRL-001,Design and Development,10000,60000,2.3,8000,0.92,0.9,155.6
RS-005,Enterprise Architecture,DD-WRL-002,Design and Development,9000,58000,2.2,7500,0.85,0.82,108.1
RS-005,Secure Software Development,DD-WRL-003,Design and Development,8000,52000,2.0,7000,0.88,0.85,111.0
RS-005,Secure Systems Development,DD-WRL-004,Design and Development,8500,55000,2.2,7500,0.87,0.85,162.5
RS-005,Software Security Assessment,DD-WRL-005,Design and Development,7500,48000,1.8,6500,0.8,0.78,96.2
RS-005,Systems Requirements Planning,DD-WRL-006,Design and Development,6000,42000,1.7,5500,0.72,0.68,95.3
RS-005,Systems Testing and Evaluation,DD-WRL-007,Design and Development,6500,44000,1.7,5500,0.75,0.7,72.4
RS-005,Technology Research and Development,DD-WRL-008,Design and Development,9000,55000,2.2,7000,0.8,0.72,81.9
RS-005,Operational Technology (OT) Cybersecurity Engineering,DD-WRL-009,Design and Development,11000,65000,2.5,9000,0.93,0.92,79.8
RS-005,Data Analysis,IO-WRL-001,Implementation and Operation,6000,40000,1.5,5000,0.7,0.65,97.1
RS-005,Database Administration,IO-WRL-002,Implementation and Operation,5500,38000,1.3,4500,0.72,0.68,58.0
RS-005,Knowledge Management,IO-WRL-003,Implementation and Operation,4000,28000,1.2,3500,0.45,0.38,40.0
RS-005,Network Operations,IO-WRL-004,Implementation and Operation,7000,46000,1.7,6000,0.8,0.78,83.4
RS-005,Systems Administration,IO-WRL-005,Implementation and Operation,6000,40000,1.5,5500,0.75,0.72,97.6
RS-005,Systems Security Analysis,IO-WRL-006,Implementation and Operation,7500,48000,1.8,6500,0.82,0.8,101.6
RS-005,Technical Support,IO-WRL-007,Implementation and Operation,3500,25000,1.0,3000,0.4,0.35,67.3
RS-005,Defensive Cybersecurity,PD-WRL-001,Protection and Defense,9000,55000,2.2,8000,0.92,0.9,143.1
RS-005,Digital Forensics,PD-WRL-002,Protection and Defense,8500,52000,2.0,7500,0.85,0.82,130.6
RS-005,Incident Response,PD-WRL-003,Protection and Defense,8000,50000,1.8,7500,0.9,0.92,76.3
RS-005,Infrastructure Support,PD-WRL-004,Protection and Defense,6500,42000,1.6,5500,0.72,0.7,51.4
RS-005,Insider Threat Analysis,PD-WRL-005,Protection and Defense,7500,50000,1.9,7000,0.88,0.88,121.6
RS-005,Threat Analysis,PD-WRL-006,Protection and Defense,8000,52000,2.0,7500,0.9,0.9,123.2
RS-005,Vulnerability Analysis,PD-WRL-007,Protection and Defense,8500,54000,2.1,8000,0.92,0.92,66.9
